File,aid,Date,2066,2185,2189,2257,2261,2376,2445,2449,2517,2521,3298,4168,34961,35033,35297
_250m_16_days_VI_Quality_2026017_aid0001,aid0001,2026-01-17 00:00:00+00:00,,,13.0,,,,,3.0,,,,,,,
_250m_16_days_VI_Quality_2026033_aid0001,aid0001,2026-02-02 00:00:00+00:00,,16.0,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2026049_aid0001,aid0001,2026-02-18 00:00:00+00:00,,1.0,,4.0,,,5.0,,3.0,,,,3.0,,
_250m_16_days_VI_Quality_2026065_aid0001,aid0001,2026-03-06 00:00:00+00:00,,16.0,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2026081_aid0001,aid0001,2026-03-22 00:00:00+00:00,,,,,1.0,,,,,,,15.0,,,
_250m_16_days_VI_Quality_2026017_aid0002,aid0002,2026-01-17 00:00:00+00:00,,,12.0,,,,,,,,,,,,
_250m_16_days_VI_Quality_2026033_aid0002,aid0002,2026-02-02 00:00:00+00:00,,12.0,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2026049_aid0002,aid0002,2026-02-18 00:00:00+00:00,,3.0,,7.0,,,2.0,,,,,,,,
_250m_16_days_VI_Quality_2026065_aid0002,aid0002,2026-03-06 00:00:00+00:00,,10.0,,,,,2.0,,,,,,,,
_250m_16_days_VI_Quality_2026081_aid0002,aid0002,2026-03-22 00:00:00+00:00,,10.0,,,,2.0,,,,,,,,,
_250m_16_days_VI_Quality_2026017_aid0003,aid0003,2026-01-17 00:00:00+00:00,1.0,,,,12.0,,,,,,,,,,3.0
_250m_16_days_VI_Quality_2026033_aid0003,aid0003,2026-02-02 00:00:00+00:00,,16.0,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2026049_aid0003,aid0003,2026-02-18 00:00:00+00:00,,7.0,,9.0,,,,,,,,,,,
_250m_16_days_VI_Quality_2026065_aid0003,aid0003,2026-03-06 00:00:00+00:00,3.0,12.0,,,,,1.0,,,,,,,,
_250m_16_days_VI_Quality_2026081_aid0003,aid0003,2026-03-22 00:00:00+00:00,,,,,,,13.0,,,3.0,,,,,
_250m_16_days_VI_Quality_2026017_aid0004,aid0004,2026-01-17 00:00:00+00:00,6.0,,,,,,,,,,2.0,,,,1.0
_250m_16_days_VI_Quality_2026033_aid0004,aid0004,2026-02-02 00:00:00+00:00,,,,6.0,,,,,,,,,,3.0,
_250m_16_days_VI_Quality_2026049_aid0004,aid0004,2026-02-18 00:00:00+00:00,,,,9.0,,,,,,,,,,,
_250m_16_days_VI_Quality_2026065_aid0004,aid0004,2026-03-06 00:00:00+00:00,,,,5.0,,,3.0,,,,,,,1.0,
_250m_16_days_VI_Quality_2026081_aid0004,aid0004,2026-03-22 00:00:00+00:00,,,,,,,,,,,,,,9.0,
