File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026017000000_aid0001,_250m_16_days_MIR_reflectance,aid0001,2026-01-17,16.0,0.0588,0.0653,"(0.0588,0.0653)",0.0624812,0.0025085,6.3e-06,0.0644,0.0653,0.0632,0.0588,0.06015
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026033000000_aid0001,_250m_16_days_MIR_reflectance,aid0001,2026-02-02,16.0,0.0646,0.0699,"(0.0646,0.0699)",0.0685438,0.0019487,3.8e-06,0.0699,0.0699,0.06935,0.0683,0.068825
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026049000000_aid0001,_250m_16_days_MIR_reflectance,aid0001,2026-02-18,16.0,0.0628,0.0809,"(0.0628,0.0809)",0.0735688,0.006674,4.45e-05,0.07835,0.0809,0.0777,0.0628,0.0693
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026065000000_aid0001,_250m_16_days_MIR_reflectance,aid0001,2026-03-06,16.0,0.0755,0.0832,"(0.0755,0.0832)",0.0789062,0.0033065,1.09e-05,0.0832,0.0832,0.0794,0.0755,0.0755
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026081000000_aid0001,_250m_16_days_MIR_reflectance,aid0001,2026-03-22,16.0,0.0699,0.0733,"(0.0699,0.0733)",0.0714688,0.0016438,2.7e-06,0.0733,0.0733,0.07055,0.0699,0.0699
MOD13Q1_061__250m_16_days_NDVI_doy2026017000000_aid0001,_250m_16_days_NDVI,aid0001,2026-01-17,16.0,0.4324,0.5093,"(0.4324,0.5093)",0.4664938,0.0217822,0.0004745,0.479825,0.5093,0.46585,0.4324,0.4552
MOD13Q1_061__250m_16_days_NDVI_doy2026033000000_aid0001,_250m_16_days_NDVI,aid0001,2026-02-02,16.0,0.4488,0.5831,"(0.4488,0.5831)",0.4969812,0.0299218,0.0008953,0.507225,0.5341,0.4914,0.4488,0.481225
MOD13Q1_061__250m_16_days_NDVI_doy2026049000000_aid0001,_250m_16_days_NDVI,aid0001,2026-02-18,16.0,0.3859,0.5684,"(0.3859,0.5684)",0.4730875,0.0629012,0.0039566,0.5257,0.5684,0.4334,0.3859,0.42345
MOD13Q1_061__250m_16_days_NDVI_doy2026065000000_aid0001,_250m_16_days_NDVI,aid0001,2026-03-06,16.0,0.4787,0.7076,"(0.4787,0.7076)",0.5607625,0.0605291,0.0036638,0.59295,0.6514,0.541,0.4787,0.5311
MOD13Q1_061__250m_16_days_NDVI_doy2026081000000_aid0001,_250m_16_days_NDVI,aid0001,2026-03-22,16.0,0.5301,0.5728,"(0.5301,0.5728)",0.5503438,0.0161715,0.0002615,0.565675,0.5728,0.5456,0.5301,0.5347
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026017000000_aid0001,_250m_16_days_blue_reflectance,aid0001,2026-01-17,16.0,0.0411,0.0456,"(0.0411,0.0456)",0.0443688,0.0016351,2.7e-06,0.0456,0.0456,0.045,0.0438,0.04455
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026033000000_aid0001,_250m_16_days_blue_reflectance,aid0001,2026-02-02,16.0,0.0358,0.0435,"(0.0358,0.0435)",0.0408563,0.0025,6.2e-06,0.0422,0.0435,0.0421,0.0412,0.0412
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026049000000_aid0001,_250m_16_days_blue_reflectance,aid0001,2026-02-18,16.0,0.0404,0.0555,"(0.0404,0.0555)",0.0473188,0.0049002,2.4e-05,0.0509,0.0555,0.0508,0.0404,0.0432
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026065000000_aid0001,_250m_16_days_blue_reflectance,aid0001,2026-03-06,16.0,0.0352,0.0488,"(0.0352,0.0488)",0.0424688,0.0064458,4.15e-05,0.0482,0.0488,0.04695,0.0352,0.0352
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026081000000_aid0001,_250m_16_days_blue_reflectance,aid0001,2026-03-22,16.0,0.04,0.0427,"(0.04,0.0427)",0.0411812,0.0013394,1.8e-06,0.0427,0.0427,0.04,0.04,0.04
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026017000000_aid0002,_250m_16_days_MIR_reflectance,aid0002,2026-01-17,12.0,0.0666,0.0835,"(0.0666,0.0835)",0.0723667,0.0050953,2.6e-05,0.0706,0.0706,0.0706,0.0706,0.070525
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026033000000_aid0002,_250m_16_days_MIR_reflectance,aid0002,2026-02-02,12.0,0.0731,0.0884,"(0.0731,0.0884)",0.0769167,0.0053566,2.87e-05,0.076725,0.0777,0.0751,0.0731,0.0731
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026049000000_aid0002,_250m_16_days_MIR_reflectance,aid0002,2026-02-18,12.0,0.0645,0.1045,"(0.0645,0.1045)",0.083725,0.0107593,0.0001158,0.0875,0.0875,0.0796,0.0791,0.079475
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026065000000_aid0002,_250m_16_days_MIR_reflectance,aid0002,2026-03-06,12.0,0.0759,0.0882,"(0.0759,0.0882)",0.0808167,0.0035914,1.29e-05,0.0816,0.0816,0.0795,0.0759,0.079225
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026081000000_aid0002,_250m_16_days_MIR_reflectance,aid0002,2026-03-22,12.0,0.0817,0.1195,"(0.0817,0.1195)",0.0968167,0.011672,0.0001362,0.1017,0.1195,0.0929,0.0817,0.0887
MOD13Q1_061__250m_16_days_NDVI_doy2026017000000_aid0002,_250m_16_days_NDVI,aid0002,2026-01-17,12.0,0.4154,0.4925,"(0.4154,0.4925)",0.45885,0.0266624,0.0007109,0.484725,0.4925,0.4519,0.4154,0.440375
MOD13Q1_061__250m_16_days_NDVI_doy2026033000000_aid0002,_250m_16_days_NDVI,aid0002,2026-02-02,12.0,0.4152,0.5362,"(0.4152,0.5362)",0.474075,0.0450038,0.0020253,0.5157,0.5362,0.47125,0.4152,0.429825
MOD13Q1_061__250m_16_days_NDVI_doy2026049000000_aid0002,_250m_16_days_NDVI,aid0002,2026-02-18,12.0,0.3458,0.5375,"(0.3458,0.5375)",0.401375,0.0529158,0.0028001,0.4148,0.4492,0.411,0.3458,0.3571
MOD13Q1_061__250m_16_days_NDVI_doy2026065000000_aid0002,_250m_16_days_NDVI,aid0002,2026-03-06,12.0,0.3988,0.5743,"(0.3988,0.5743)",0.4844917,0.0506682,0.0025673,0.5171,0.5743,0.4826,0.3988,0.4538
MOD13Q1_061__250m_16_days_NDVI_doy2026081000000_aid0002,_250m_16_days_NDVI,aid0002,2026-03-22,12.0,0.4225,0.5975,"(0.4225,0.5975)",0.527525,0.05821,0.0033884,0.5842,0.5975,0.52855,0.4225,0.4905
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026017000000_aid0002,_250m_16_days_blue_reflectance,aid0002,2026-01-17,12.0,0.0423,0.0523,"(0.0423,0.0523)",0.0468083,0.0039647,1.57e-05,0.0521,0.0523,0.04495,0.0423,0.0436
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026033000000_aid0002,_250m_16_days_blue_reflectance,aid0002,2026-02-02,12.0,0.033,0.0475,"(0.033,0.0475)",0.042275,0.0036772,1.35e-05,0.045,0.0475,0.0415,0.0409,0.04135
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026049000000_aid0002,_250m_16_days_blue_reflectance,aid0002,2026-02-18,12.0,0.0391,0.0565,"(0.0391,0.0565)",0.0499583,0.0064457,4.15e-05,0.0565,0.0565,0.05015,0.0391,0.0446
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026065000000_aid0002,_250m_16_days_blue_reflectance,aid0002,2026-03-06,12.0,0.0386,0.0527,"(0.0386,0.0527)",0.046275,0.0037967,1.44e-05,0.0481,0.0481,0.0459,0.0428,0.045125
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026081000000_aid0002,_250m_16_days_blue_reflectance,aid0002,2026-03-22,12.0,0.0438,0.0631,"(0.0438,0.0631)",0.0508417,0.0064794,4.2e-05,0.0548,0.0631,0.0482,0.0438,0.0459
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026017000000_aid0003,_250m_16_days_MIR_reflectance,aid0003,2026-01-17,16.0,0.0504,0.087,"(0.0504,0.087)",0.0617125,0.0133764,0.0001789,0.0663,0.087,0.0551,0.0504,0.0516
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026033000000_aid0003,_250m_16_days_MIR_reflectance,aid0003,2026-02-02,16.0,0.0535,0.0949,"(0.0535,0.0949)",0.0695062,0.014849,0.0002205,0.08065,0.0949,0.0606,0.0535,0.0583
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026049000000_aid0003,_250m_16_days_MIR_reflectance,aid0003,2026-02-18,16.0,0.0612,0.0964,"(0.0612,0.0964)",0.0767562,0.0151487,0.0002295,0.093225,0.0964,0.0713,0.0612,0.06195
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026065000000_aid0003,_250m_16_days_MIR_reflectance,aid0003,2026-03-06,16.0,0.0574,0.1608,"(0.0574,0.1608)",0.0886812,0.03584,0.0012845,0.092125,0.0982,0.0708,0.0574,0.0672
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026081000000_aid0003,_250m_16_days_MIR_reflectance,aid0003,2026-03-22,16.0,0.0698,0.1245,"(0.0698,0.1245)",0.0835188,0.0123048,0.0001514,0.086,0.0872,0.0856,0.0698,0.0782
MOD13Q1_061__250m_16_days_NDVI_doy2026017000000_aid0003,_250m_16_days_NDVI,aid0003,2026-01-17,16.0,0.3796,0.7073,"(0.3796,0.7073)",0.55945,0.1293074,0.0167204,0.65735,0.7073,0.6149,0.3796,0.39055
MOD13Q1_061__250m_16_days_NDVI_doy2026033000000_aid0003,_250m_16_days_NDVI,aid0003,2026-02-02,16.0,0.2828,0.5915,"(0.2828,0.5915)",0.4610312,0.1066989,0.0113846,0.533925,0.5915,0.50545,0.2828,0.380325
MOD13Q1_061__250m_16_days_NDVI_doy2026049000000_aid0003,_250m_16_days_NDVI,aid0003,2026-02-18,16.0,0.3466,0.6262,"(0.3466,0.6262)",0.4837938,0.0811084,0.0065786,0.533875,0.6262,0.49075,0.3466,0.4205
MOD13Q1_061__250m_16_days_NDVI_doy2026065000000_aid0003,_250m_16_days_NDVI,aid0003,2026-03-06,16.0,0.2133,0.743,"(0.2133,0.743)",0.5610562,0.1942401,0.0377292,0.70805,0.743,0.65815,0.2133,0.4958
MOD13Q1_061__250m_16_days_NDVI_doy2026081000000_aid0003,_250m_16_days_NDVI,aid0003,2026-03-22,16.0,0.2514,0.6777,"(0.2514,0.6777)",0.5668938,0.1031221,0.0106342,0.6529,0.6777,0.56185,0.4922,0.53215
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026017000000_aid0003,_250m_16_days_blue_reflectance,aid0003,2026-01-17,16.0,0.0236,0.1251,"(0.0236,0.1251)",0.0443938,0.0239263,0.0005725,0.04325,0.0371,0.0371,0.0236,0.0343
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026033000000_aid0003,_250m_16_days_blue_reflectance,aid0003,2026-02-02,16.0,0.031,0.0611,"(0.031,0.0611)",0.0408938,0.0119043,0.0001417,0.0515,0.0611,0.0343,0.031,0.0317
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026049000000_aid0003,_250m_16_days_blue_reflectance,aid0003,2026-02-18,16.0,0.0389,0.0593,"(0.0389,0.0593)",0.0466938,0.008035,6.46e-05,0.053725,0.0593,0.042,0.0389,0.0395
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026065000000_aid0003,_250m_16_days_blue_reflectance,aid0003,2026-03-06,16.0,0.0271,0.109,"(0.0271,0.109)",0.0473438,0.030855,0.000952,0.050075,0.0596,0.03065,0.0271,0.0272
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026081000000_aid0003,_250m_16_days_blue_reflectance,aid0003,2026-03-22,16.0,0.0379,0.0688,"(0.0379,0.0688)",0.0434625,0.0073024,5.33e-05,0.04515,0.0468,0.0426,0.0379,0.0383
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026017000000_aid0004,_250m_16_days_MIR_reflectance,aid0004,2026-01-17,9.0,0.1026,0.1166,"(0.1026,0.1166)",0.1091333,0.0062216,3.87e-05,0.1166,0.1166,0.1053,0.1026,0.1026
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026033000000_aid0004,_250m_16_days_MIR_reflectance,aid0004,2026-02-02,9.0,0.0922,0.1227,"(0.0922,0.1227)",0.1109,0.0133734,0.0001788,0.1227,0.1227,0.1178,0.0922,0.0922
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026049000000_aid0004,_250m_16_days_MIR_reflectance,aid0004,2026-02-18,9.0,0.1105,0.1271,"(0.1105,0.1271)",0.1149222,0.0064003,4.1e-05,0.1221,0.1271,0.1105,0.1105,0.1105
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026065000000_aid0004,_250m_16_days_MIR_reflectance,aid0004,2026-03-06,9.0,0.1034,0.1362,"(0.1034,0.1362)",0.1244333,0.0148798,0.0002214,0.1347,0.1362,0.1347,0.1034,0.1034
MOD13Q1_061__250m_16_days_MIR_reflectance_doy2026081000000_aid0004,_250m_16_days_MIR_reflectance,aid0004,2026-03-22,9.0,0.0994,0.138,"(0.0994,0.138)",0.1105111,0.0162913,0.0002654,0.1222,0.138,0.0994,0.0994,0.0994
MOD13Q1_061__250m_16_days_NDVI_doy2026017000000_aid0004,_250m_16_days_NDVI,aid0004,2026-01-17,9.0,0.1138,0.3183,"(0.1138,0.3183)",0.2051333,0.0812656,0.0066041,0.3183,0.3183,0.1605,0.1138,0.1486
MOD13Q1_061__250m_16_days_NDVI_doy2026033000000_aid0004,_250m_16_days_NDVI,aid0004,2026-02-02,9.0,0.1308,0.3578,"(0.1308,0.3578)",0.2296333,0.0936493,0.0087702,0.3578,0.3578,0.1758,0.1308,0.1657
MOD13Q1_061__250m_16_days_NDVI_doy2026049000000_aid0004,_250m_16_days_NDVI,aid0004,2026-02-18,9.0,0.1586,0.441,"(0.1586,0.441)",0.2666889,0.1223976,0.0149812,0.4372,0.441,0.1922,0.1586,0.1749
MOD13Q1_061__250m_16_days_NDVI_doy2026065000000_aid0004,_250m_16_days_NDVI,aid0004,2026-03-06,9.0,0.1611,0.3957,"(0.1611,0.3957)",0.2622444,0.0976378,0.0095331,0.3844,0.3957,0.2375,0.1611,0.1653
MOD13Q1_061__250m_16_days_NDVI_doy2026081000000_aid0004,_250m_16_days_NDVI,aid0004,2026-03-22,9.0,0.1936,0.3109,"(0.1936,0.3109)",0.2498111,0.0479628,0.0023004,0.2976,0.3109,0.2319,0.1936,0.1936
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026017000000_aid0004,_250m_16_days_blue_reflectance,aid0004,2026-01-17,9.0,0.0644,0.09,"(0.0644,0.09)",0.0816889,0.0113439,0.0001287,0.09,0.09,0.0894,0.0644,0.0663
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026033000000_aid0004,_250m_16_days_blue_reflectance,aid0004,2026-02-02,9.0,0.0471,0.0672,"(0.0471,0.0672)",0.0586667,0.0084815,7.19e-05,0.0672,0.0672,0.0617,0.0471,0.0471
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026049000000_aid0004,_250m_16_days_blue_reflectance,aid0004,2026-02-18,9.0,0.0601,0.066,"(0.0601,0.066)",0.0616889,0.0024301,5.9e-06,0.0626,0.066,0.0601,0.0601,0.0601
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026065000000_aid0004,_250m_16_days_blue_reflectance,aid0004,2026-03-06,9.0,0.0518,0.072,"(0.0518,0.072)",0.0631,0.008078,6.53e-05,0.0681,0.072,0.0681,0.0518,0.0518
MOD13Q1_061__250m_16_days_blue_reflectance_doy2026081000000_aid0004,_250m_16_days_blue_reflectance,aid0004,2026-03-22,9.0,0.0539,0.0759,"(0.0539,0.0759)",0.0595889,0.0089973,8.1e-05,0.0611,0.0611,0.0539,0.0539,0.0539
